	KO30Cr1	KO30Cr2	KO20Cr1	KO20Cr2	WT30Cr1	WT30Cr2	WT20Cr1	WT20Cr2
YLR102C	446.0	495.0	424.0	423.0	643.0	587.0	450.0	423.0
YLR103C	914.0	1058.0	1054.0	1030.0	1436.0	1285.0	940.0	940.0
YLR104W	130.0	248.0	159.0	173.0	384.0	385.0	110.0	158.0
YLR105C	668.0	942.0	1352.0	898.0	1516.0	1349.0	1278.0	1214.0
YLR106C	10337.0	14420.0	19770.0	15172.0	17335.0	12444.0	13327.0	10839.0
YLR107W	578.0	713.0	1011.0	901.0	568.0	504.0	706.0	642.0
YLR108C	449.0	760.0	1055.0	616.0	475.0	452.0	981.0	937.0
YLR109W	11228.0	15068.0	15933.0	14808.0	14149.0	14142.0	12113.0	18016.0
YLR110C	69044.0	102294.0	81680.0	84177.0	47932.0	36617.0	38590.0	44466.0
YLR113W	2046.0	2763.0	2115.0	2112.0	4215.0	3801.0	2019.0	2503.0
YLR114C	949.0	1101.0	1009.0	931.0	1873.0	1241.0	1203.0	1039.0
YLR115W	1065.0	1255.0	1293.0	1247.0	2030.0	1641.0	1099.0	1183.0
YLR116W	430.0	575.0	596.0	584.0	965.0	864.0	498.0	513.0
YLR117C	924.0	1199.0	1879.0	1721.0	1516.0	1320.0	1505.0	1533.0
YLR118C	1086.0	1349.0	1239.0	1198.0	1227.0	1140.0	1093.0	1234.0
YLR119W	459.0	531.0	449.0	550.0	600.0	562.0	333.0	341.0
YLR120C	682.0	845.0	1204.0	1250.0	1129.0	959.0	866.0	1021.0
YLR121C	200.0	211.0	495.0	390.0	741.0	724.0	305.0	351.0
YLR126C	214.0	259.0	282.0	308.0	378.0	375.0	436.0	604.0
YLR127C	405.0	542.0	562.0	493.0	688.0	653.0	507.0	533.0
YLR128W	206.0	240.0	221.0	207.0	276.0	238.0	214.0	225.0
YLR129W	3459.0	4086.0	5543.0	5594.0	6182.0	5052.0	4073.0	4177.0
YLR130C	1444.0	1711.0	1642.0	1462.0	3298.0	1666.0	1510.0	1506.0
YLR131C	497.0	630.0	544.0	443.0	986.0	833.0	447.0	518.0
YLR132C	359.0	417.0	338.0	253.0	536.0	440.0	495.0	382.0
YLR133W	1033.0	1325.0	833.0	882.0	2092.0	1940.0	1006.0	1039.0
YLR134W	163.0	221.0	241.0	197.0	428.0	394.0	172.0	222.0
YLR135W	555.0	728.0	785.0	709.0	889.0	827.0	712.0	672.0
YLR136C	147.0	55.0	274.0	341.0	544.0	438.0	948.0	929.0
YLR137W	337.0	394.0	630.0	530.0	635.0	540.0	458.0	396.0
YLR138W	2947.0	3847.0	5050.0	4167.0	7114.0	5703.0	3984.0	3925.0
YLR139C	274.0	284.0	289.0	243.0	392.0	365.0	261.0	198.0
YLR141W	260.0	314.0	323.0	257.0	683.0	603.0	175.0	213.0
YLR142W	18.0	37.0	52.0	45.0	54.0	56.0	29.0	35.0
YLR143W	1011.0	1320.0	1456.0	1363.0	1536.0	1095.0	1069.0	1167.0
YLR144C	598.0	812.0	600.0	561.0	691.0	538.0	464.0	505.0
YLR145W	360.0	448.0	591.0	385.0	382.0	316.0	434.0	406.0
YLR146C	393.0	440.0	604.0	625.0	440.0	413.0	383.0	445.0
YLR146W-A	81.0	133.0	134.0	114.0	145.0	158.0	31.0	68.0
YLR147C	423.0	582.0	1398.0	819.0	835.0	801.0	643.0	752.0
YLR148W	974.0	1238.0	1014.0	1082.0	1419.0	1129.0	842.0	887.0
YLR149C	397.0	541.0	414.0	408.0	553.0	386.0	441.0	420.0
