	KO30Cr1	KO30Cr2	KO20Cr1	KO20Cr2	WT30Cr1	WT30Cr2	WT20Cr1	WT20Cr2
YBR234C	511.0	566.0	1214.0	1068.0	715.0	936.0	848.0	459.0
YBR235W	68.0	90.0	192.0	184.0	140.0	153.0	167.0	102.0
YBR236C	124.0	139.0	224.0	207.0	206.0	219.0	190.0	99.0
YBR237W	58.0	54.0	141.0	130.0	65.0	81.0	87.0	40.0
YBR238C	106.0	99.0	788.0	681.0	161.0	209.0	385.0	179.0
YBR239C	153.0	190.0	190.0	171.0	202.0	196.0	141.0	153.0
YBR241C	77.0	82.0	127.0	115.0	105.0	130.0	104.0	54.0
YBR242W	94.0	102.0	251.0	263.0	136.0	198.0	159.0	91.0
YBR243C	138.0	130.0	294.0	293.0	195.0	256.0	202.0	151.0
YBR244W	182.0	227.0	606.0	609.0	302.0	424.0	311.0	189.0
YBR245C	462.0	482.0	1228.0	1287.0	690.0	833.0	865.0	484.0
YBR246W	75.0	80.0	283.0	247.0	104.0	143.0	110.0	73.0
YBR247C	267.0	280.0	964.0	870.0	390.0	511.0	503.0	254.0
YBR248C	360.0	423.0	573.0	607.0	605.0	770.0	763.0	381.0
YBR249C	1033.0	988.0	2180.0	2177.0	2223.0	2995.0	4364.0	2210.0
YBR251W	131.0	143.0	308.0	326.0	178.0	251.0	271.0	147.0
YBR252W	195.0	267.0	665.0	582.0	377.0	512.0	383.0	203.0
YBR253W	35.0	30.0	95.0	111.0	71.0	95.0	60.0	36.0
YBR254C	63.0	76.0	160.0	184.0	88.0	119.0	88.0	66.0
YBR255C-A	23.0	16.0	59.0	66.0	34.0	36.0	65.0	32.0
YBR255W	34.0	37.0	77.0	76.0	46.0	57.0	42.0	32.0
YBR256C	131.0	154.0	265.0	255.0	219.0	287.0	325.0	145.0
YBR257W	49.0	65.0	189.0	189.0	83.0	113.0	112.0	50.0
YBR258C	23.0	24.0	78.0	70.0	29.0	36.0	52.0	29.0
YBR259W	23.0	18.0	74.0	76.0	28.0	33.0	33.0	17.0
YBR260C	132.0	160.0	341.0	391.0	232.0	256.0	273.0	162.0
YBR261C	138.0	156.0	287.0	273.0	221.0	269.0	260.0	119.0
YBR262C	44.0	34.0	97.0	90.0	60.0	86.0	108.0	65.0
YBR263W	986.0	990.0	1989.0	1997.0	1622.0	2087.0	1529.0	919.0
YBR264C	72.0	68.0	156.0	140.0	101.0	130.0	99.0	52.0
YBR265W	196.0	184.0	493.0	423.0	246.0	329.0	292.0	166.0
YBR267W	216.0	226.0	972.0	910.0	317.0	442.0	451.0	275.0
YBR268W	66.0	82.0	145.0	172.0	96.0	149.0	127.0	81.0
YBR269C	118.0	146.0	253.0	263.0	171.0	193.0	186.0	93.0
YBR270C	2.0	3.0	12.0	16.0	8.0	15.0	10.0	10.0
YBR271W	67.0	56.0	176.0	175.0	96.0	114.0	114.0	67.0
YBR272C	99.0	80.0	199.0	182.0	131.0	181.0	152.0	80.0
YBR273C	168.0	196.0	420.0	392.0	243.0	332.0	239.0	132.0
YBR274W	52.0	43.0	90.0	83.0	60.0	74.0	76.0	30.0
YBR275C	118.0	128.0	322.0	335.0	192.0	200.0	256.0	91.0
YBR276C	24.0	24.0	70.0	68.0	46.0	61.0	48.0	22.0
YBR278W	43.0	37.0	70.0	77.0	60.0	62.0	65.0	34.0
YBR279W	204.0	207.0	597.0	584.0	350.0	397.0	465.0	217.0
